iter	RMSE
0	635603.6245
1	628117.0603
2	621200.1748
3	614349.7049
4	607911.6523
5	601541.2562
6	595540.9404
7	589850.7389
8	584278.2231
9	578995.5271
10	574035.8923
11	569308.6488
12	564897.3415
13	560605.9282
14	556260.6228
15	552208.5806
16	548380.3596
17	544696.0488
18	541279.0932
19	537990.8794
20	534729.5011
21	531827.2671
22	528877.5918
23	525769.1574
24	522997.3154
25	520432.7571
26	517977.1613
27	515575.7121
28	513438.1197
29	511209.2236
30	508901.924
31	506844.4221
32	504760.4888
33	502911.4497
34	501270.2912
35	499407.8587
36	497377.2281
37	495552.7619
38	493903.578
39	492253.4177
40	490696.8836
41	489180.0093
42	487750.7859
43	486415.8246
44	485073.0588
45	483766.8935
46	482368.2949
47	481187.8345
48	479997.5831
49	478859.7682
50	477662.5861
51	476436.0925
52	475378.4045
53	474387.1293
54	473371.4526
55	472467.737
56	471668.7792
57	470673.3947
58	469806.0615
59	468958.7642
60	468174.97
61	467428.2604
62	466649.4023
63	465761.7805
64	464899.5734
65	464146.2216
66	463423.0833
67	462875.5729
68	462242.9769
69	461493.5584
70	460896.564
71	460273.1875
72	459536.5896
73	458896.3497
74	458288.8784
75	457787.199
76	457231.3813
77	456704.7508
78	456141.6344
79	455579.0886
80	455152.879
81	454553.4748
82	454097.3971
83	453660.1412
84	453239.9408
85	452854.0247
86	452471.8004
87	451961.7918
88	451467.8276
89	451101.1123
90	450778.5682
91	450456.4658
92	449878.8204
93	449554.7694
94	449175.2668
95	448797.1022
96	448425.3386
97	448072.1295
98	447726.5815
99	447255.4765
100	447039.5962
101	446760.6298
102	446410.1077
103	446152.2591
104	445860.308
105	445519.4726
106	445265.4464
107	445077.6333
108	444905.1065
109	444653.3812
110	444252.5825
111	443960.307
112	443735.321
113	443411.0145
114	443192.482
115	443051.4638
116	442815.6515
117	442602.1405
118	442429.7716
119	442326.1657
120	442146.6862
121	441925.9244
122	441736.3715
123	441591.6344
124	441370.9449
125	441221.7441
126	441053.7208
127	440809.3921
128	440694.7095
129	440510.5164
130	440395.1842
131	440215.8548
132	440037.9505
133	439826.41
134	439699.1414
135	439680.1849
136	439586.6621
137	439446.9535
138	439326.2649
139	439224.2907
140	439054.0603
141	438963.3902
142	438772.7106
143	438473.4068
144	438344.5859
145	438171.8726
146	438008.1458
147	437849.3493
148	437770.9343
149	437692.0996
150	437618.2586
151	437436.383
152	437373.4637
153	437210.1249
154	437061.4455
155	436979.142
156	436787.9169
157	436560.0893
158	436382.3326
159	436298.2743
160	436054.2525
161	435942.0736
162	435737.4226
163	435542.4067
164	435471.4439
165	435284.6018
166	435124.5459
167	435030.972
168	434909.2002
169	434635.0465
170	434622.2559
171	434561.3508
172	434461.1676
173	434355.68
174	434211.9048
175	434102.0836
176	433852.0083
177	433800.1564
178	433718.8491
179	433680.6592
180	433530.4824
181	433486.5468
182	433475.2555
183	433317.9768
184	433187.3361
185	433052.9229
186	432807.3209
187	432741.2508
188	432731.9629
189	432668.4273
190	432636.6829
191	432515.8874
192	432346.5404
193	432223.9354
194	432068.3017
195	431803.1105
196	431685.4718
197	431612.3489
198	431515.0838
199	431439.3171
200	431313.1189
201	431036.1066
202	430987.0683
203	430908.4251
204	430781.5709
205	430626.2441
206	430554.255
207	430545.8631
208	430435.0744
209	430231.2902
210	430145.2047
211	430048.5018
212	429924.1197
213	429793.3963
214	429747.303
215	429583.6475
216	429440.5105
217	429422.004
218	429227.028
219	429097.7674
220	429068.4614
221	428936.5532
222	428931.5036
223	428850.5637
224	428736.4603
225	428722.7232
226	428644.6144
227	428617.559
228	428507.5889
229	428437.4254
230	428335.8347
231	428299.8762
232	428230.8901
233	428136.2104
234	428050.7935
235	427898.9122
236	427889.5599
237	427871.8745
238	427626.2104
239	427549.7598
240	427503.5912
241	427350.8713
242	427317.2037
243	427271.4401
244	427201.894
245	427032.5099
246	427025.4417
247	426954.4061
248	426755.5934
249	426581.5655
250	426537.9128
251	426488.3814
252	426451.4956
253	426329.0757
254	426266.9221
