iter	Passed	Remaining
0	6	6861
1	12	6396
2	20	6926
3	26	6513
4	36	7259
5	48	8015
6	52	7497
7	57	7096
8	61	6788
9	67	6633
10	80	7197
11	90	7417
12	103	7823
13	107	7569
14	112	7373
15	116	7181
16	121	7005
17	125	6846
18	130	6744
19	135	6615
20	139	6497
21	144	6408
22	148	6309
23	152	6215
24	157	6147
25	164	6157
26	168	6079
27	173	6022
28	177	5954
29	182	5893
30	186	5834
31	191	5791
32	195	5734
33	200	5682
34	205	5676
35	210	5629
36	214	5585
37	219	5557
38	223	5516
39	228	5474
40	232	5448
41	237	5412
42	241	5376
43	245	5344
44	250	5321
45	254	5288
46	259	5256
47	263	5235
48	268	5206
49	272	5179
50	276	5152
51	281	5138
52	286	5112
53	290	5090
54	295	5073
55	299	5051
56	303	5028
57	308	5015
58	313	4994
59	317	4972
60	321	4952
61	326	4941
62	330	4922
63	335	4905
64	340	4897
65	344	4879
66	349	4861
67	353	4847
68	357	4830
69	362	4813
70	366	4795
71	374	4830
72	379	4821
73	384	4805
74	389	4806
75	394	4791
76	398	4776
77	403	4769
78	408	4759
79	412	4743
80	416	4728
81	421	4719
82	425	4704
83	430	4691
84	435	4683
85	439	4671
86	443	4658
87	448	4645
88	453	4639
89	457	4625
90	461	4611
91	466	4601
92	470	4589
93	474	4576
94	479	4564
95	484	4559
96	489	4557
97	494	4552
98	498	4540
99	504	4544
100	509	4534
101	514	4527
102	519	4525
103	524	4517
104	529	4509
105	534	4508
106	539	4498
107	543	4491
108	548	4480
109	552	4471
110	557	4464
111	561	4454
112	566	4446
113	570	4436
114	575	4425
115	579	4414
116	583	4407
117	588	4396
118	592	4386
119	597	4379
120	601	4368
121	605	4359
122	609	4348
123	614	4340
124	618	4330
125	622	4320
126	627	4314
127	631	4305
128	636	4295
129	640	4288
130	644	4278
131	649	4268
132	653	4259
133	657	4251
134	662	4241
135	665	4227
136	669	4217
137	675	4219
138	679	4210
139	684	4201
140	688	4194
141	693	4187
142	697	4179
143	701	4171
144	706	4164
145	710	4156
146	714	4148
147	719	4140
148	723	4134
149	728	4125
150	732	4116
151	736	4111
152	742	4108
153	746	4100
